month_year,monthly_cases,temp_mean,tempmin,tempmax,humidity_mean,humidity_min,humidity_max,precipitation
2010-01-01,53,24.7432518857143,20.97142857142856,29.828571428571422,83.90542085714286,62.71428571428572,98.79999999999998,213.4
2010-02-01,148,24.581279178571425,20.571428571428577,29.500000000000025,81.02518214285712,59.78571428571425,97.71428571428572,42.7
2010-03-01,317,25.033171071428576,20.4642857142857,30.2857142857143,77.19687028571431,56.17857142857143,95.03571428571428,55.1
2010-04-01,263,22.27024789285715,17.285714285714274,27.5714285714286,75.54121242857144,53.0,96.14285714285712,88.9
2010-05-01,183,19.04186765714286,14.42857142857144,24.085714285714282,80.49522588571429,57.88571428571428,97.97142857142858,33.0
2010-06-01,34,19.356589523809525,14.047619047619024,25.38690476190475,67.38797379166665,45.61309523809525,89.11904761904762,29.2
2010-07-01,29,20.7108015059524,15.654761904761925,25.9345238095238,68.5540151547619,48.5,90.39880952380952,88.6
2010-08-01,39,21.37006691428574,14.857142857142861,28.11428571428572,53.77770194285714,32.94285714285712,79.40000000000002,0.0
2010-09-01,38,21.865170678571424,16.85714285714285,27.7857142857143,71.58171283333334,50.66071428571428,89.7142857142857,92.7
2010-10-01,24,22.21076314285716,16.22857142857144,28.6,70.188614,45.02857142857144,95.74285714285716,132.6
2010-11-01,42,24.21701910714285,18.7142857142857,30.000000000000025,71.09040664285712,45.89285714285715,94.67857142857143,86.4
2010-12-01,39,24.047456071428574,19.714285714285726,29.357142857142826,81.96385035714285,60.25,98.9642857142857,218.9
2011-01-01,272,24.881133742857138,20.6857142857143,30.571428571428577,83.43385377142859,58.342857142857156,99.65714285714287,496.1
2011-02-01,840,25.512271285714302,21.75,30.2857142857143,82.0457925357143,56.178571428571445,99.35714285714285,173.7
2011-03-01,1676,24.750253785714275,21.107142857142875,29.249999999999975,82.5195487857143,61.8214285714286,97.85714285714285,144.5
2011-04-01,1961,24.057990857142848,19.785714285714274,29.321428571428577,78.98493042857145,52.5,98.78571428571428,89.2
2011-05-01,1406,20.53052702857144,15.80000000000002,26.2,74.49079599999997,45.600000000000016,96.85714285714285,31.5
2011-06-01,173,19.12108635714285,14.0,25.0,71.23408107142855,41.46428571428572,93.5357142857143,45.7
2011-07-01,63,20.7855662904762,16.1142857142857,26.241904761904777,64.00403594476191,41.01619047619048,84.51428571428572,7.9
2011-08-01,58,22.875230571428574,16.60714285714285,29.678571428571423,56.39600028571427,30.9642857142857,82.8214285714286,40.4
2011-09-01,53,24.004453500000025,17.2857142857143,31.285714285714274,52.34622971428573,26.0,79.96428571428572,3.0
2011-10-01,70,23.2553259142857,18.2,29.371428571428577,69.02477782857144,43.6857142857143,90.82857142857145,209.3
